brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Mateos,"Gourmet Salsa, Verde, Medium",51db37c1176fe9790a899120,51c3ce6f97c3e6d8d3b4fb29,89495569070,2,"Verde, Medium","Tomatillos (Green Tomatillos, Water, Salt, Citric Acid), Diced Tomatoes (Diced Tomatoes, Tomato Juice, Tomato Puree, Calcium Chloride, Citric Acid), Water, Yellow Onions, Green Onions, Sugar, Fresh Cilantro, Jalapeno Peppers, Cumin, Serrano Peppers, Salt, Dehydrated Garlic, Garlic Powder, Jalapeno Powder, Spices.",10,0,0,0,0,null,null,0,105,2,1,1,0,2,6,0,2,null,14,2,tbsp,32,32,g,null,2014-11-24T20:24:24+00:00,null
Kroger,"CARBmaster Cultured Dairy Blend, Cherry",51db37b9176fe9790a898bdd,551e08bad7f7829513dd5ad8,59547778,2,null,null,60,10,1.5,1,0,null,null,5,95,4,0,3,9,8,0,30,2,null,null,1,container,null,null,g,https://d1r9wva3zcpswd.cloudfront.net/551e08d74bb37dd63673ad43.jpeg,2015-04-03T03:28:23+00:00,null
Gold Medal,"Flossugar, Blue Raspberry",51db37c5176fe9790a8993c3,55dc0d760407ce7826b159c6,90939132019,2,null,null,50,null,0,null,null,null,null,null,0,14,null,14,0,null,null,null,null,null,104,0.5,oz,14,14,g,https://d1r9wva3zcpswd.cloudfront.net/55de08843acaa9164a1e97d7.jpeg,2015-08-26T18:42:12+00:00,null
Barq's Diet,"Creme Soda, French Vanilla Contour",51db37e3176fe9790a89a46d,51c5443d97c3e6efadd5d5c7,49000052008,2,French Vanilla Contour,"Carbonated Water, Natural And Artificial Flavors, Aspartame, Sodium Benzoate (to Protect Taste), Caramel Color, Citric Acid, Acacia",0,0,0,null,null,null,null,null,35,0,null,0,0,0,0,0,0,null,6,360,ml,null,null,null,null,2014-11-24T20:24:24+00:00,null
Lucerne,"Sour Cream, Light",51db37bd176fe9790a898e8e,55ba1a6723f18b7e4898de51,165100000715,2,null,null,35,20,2,1.5,0,null,null,10,80,3,0,2,1,4,0,6,0,null,15,2,tbsp,30,30,g,https://d1r9wva3zcpswd.cloudfront.net/55bfd17afa91ff2260aaaa82.jpeg,2015-08-03T20:39:22+00:00,null
Signatures,"Sandwich, Grilled Chicken",5460ebd4cd31bf2c3808b6bc,5536fde944eead46118474c4,60522000087,2,null,null,280,80,9,2,0,null,null,30,490,null,2,6,15,0,8,4,0,null,1,1,sandwich,113,113,g,https://d1r9wva3zcpswd.cloudfront.net/5536fea344eead46118474f5.jpeg,2015-04-22T01:51:31+00:00,null
Maple Leaf Natural Selections,"Pizza Snacks, Pepperoni & Bacon",553bf00dd2aa910638bbaf13,553bef3c826ced140d5856fe,63100109578,2,null,null,210,72,8,3.5,0.1,null,null,15,420,23,2,4,12,6,2,10,8,null,null,1,pizza snack,85,85,g,https://d1r9wva3zcpswd.cloudfront.net/553bef9bd2d6d6b2797273ea.jpeg,2015-04-25T19:48:43+00:00,null
Good Sense,"Best Fiber Powder, Fiber Supplement",51db37c9176fe9790a8995f5,5531b2a1a168e8d670d0f8d4,846036003611,2,null,null,15,null,null,null,null,null,null,null,0,4,3,0,null,null,null,null,null,null,62,2,tsp,3.5,3.5,g,https://d1r9wva3zcpswd.cloudfront.net/5531b3a0da1655a64b5192ec.jpeg,2015-04-18T01:30:08+00:00,null
Our Family,"Tomatoes, Stewed Italian",51db37b0176fe9790a8983b6,51c3e9f397c3e6de73cb9a63,70253267345,2,Stewed Italian,"Tomatoes, Tomato Juice, Sugar, Salt, Dehydrated Onion, Dehydrated Celery, Dehydrated Bell Peppers, Spices, Calcium Chloride, Citric Acid, Natural Flavors.",35,0,0,0,0,null,null,0,270,8,1,6,1,10,20,4,6,null,3.5,0.5,cup,117,117,g,null,2014-11-24T20:24:24+00:00,null
jammin Nectars,Razz-Ade,51db37fa176fe9790a89abf9,51c3cc3d97c3e6d8d3b4e97a,12724000037,2,null,"Double Filtered Water, Raspberry Puree, Passion Fruit Puree, Evaporated Cane Juice, Lemon Juice Concentrate, Ascorbic Acid (Vitamin C), Citric Acid, Natural Flavor Extract, Natural Exotic Spices.",89,0,0,null,null,null,null,null,4,21,1,20,1,0,100,0,11,null,1.5,6,fl oz,189,189,g,null,2014-11-24T20:24:24+00:00,null
Hannaford,Orange Juice,51db37b1176fe9790a898440,51c3d56997c3e6d8d3b53524,41268111268,2,null,"Filtered Water, Orange Juice Concentrate.",110,0,0,null,null,null,null,null,0,27,null,23,1,0,110,2,0,null,8,8,fl oz,226,226,g,null,2014-11-24T20:24:24+00:00,null
Betty Crocker,"Warm Delights, Molten Chocolate Cake",51db37b0176fe9790a8983c7,51c361fe97c3e69de4b02dd8,16000296527,2,Molten Chocolate,"Cake Mix: Sugar, Enriched Flour Bleached (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Partially Hydrogenated Soybean and/or Cottonseed Oil, Cocoa Processed with Alkali, Corn Starch, Distilled Monoglycerides, Modified Corn Starch, Dried Egg Whites, Whey Protein Isolate, Cellulose Powder, Baking Soda, Salt, Monocalcium Phosphate, Corn Syrup Solids, Nonfat Milk, Soy Lecithin, Xanthan Gum, Artificial Flavor, Freshness Preserved by BHT, Citric Acid, Tocopherol, Ascorbic Acid, Fudge Sauce: Water, Sweetened Condensed Skim Milk (Skim Milk, Sugar, Corn Syrup), Sugar, Fructose, Partially Hydrogenated Palm Kernel Oil, Cocoa, Corn Starch, Buttermilk, Cocoa Processed with Alkali, Butter, Whey, Salt, Sodium Alginate, Natural and Artificial Flavor, Potassium Sorbate (Preservative), Artificial Color, Mono and Diglycerides, Xanthan Gum, Sodium Bicarbonate.",370,110,12,6,1.5,null,null,0,480,61,3,41,5,null,null,10,15,null,1,1,bowl,95,95,g,https://d1r9wva3zcpswd.cloudfront.net/536a7db2a0ec3c690b543840.jpeg,2014-11-24T20:24:24+00:00,null
